,country_1,country_2,run,count
1155,IB,B,42,3
1156,IB,C,42,6
1157,IB,E,42,3
1158,NW,IB,42,3
1159,NW,NW,42,8
1160,NW,N,42,3
1161,NW,B,42,4
1162,NW,C,42,4
1163,NW,E,42,6
1164,N,IB,42,1
1165,N,NW,42,3
1166,N,N,42,9
1167,N,B,42,7
1168,N,C,42,2
1169,N,E,42,2
1170,B,IB,42,3
1171,B,NW,42,4
1172,B,N,42,7
1173,B,B,42,11
1174,B,C,42,5
1175,B,E,42,4
1176,C,IB,42,6
1177,C,NW,42,4
1178,C,N,42,2
1179,C,B,42,5
1180,C,C,42,8
1181,C,E,42,8
1182,E,IB,42,3
1183,E,NW,42,6
1184,E,N,42,2
1185,E,B,42,4
1186,E,C,42,8
1187,E,E,42,7
1188,IB,IB,43,9
1189,IB,NW,43,1
1190,IB,N,43,1
1191,IB,B,43,1
1192,IB,C,43,2
1193,IB,E,43,0
1194,NW,IB,43,1
1195,NW,NW,43,9
1196,NW,N,43,2
1197,NW,B,43,1
1198,NW,C,43,5
1199,NW,E,43,5
1200,N,IB,43,1
1201,N,NW,43,2
1202,N,N,43,10
1203,N,B,43,1
1204,N,C,43,4
1205,N,E,43,2
1206,B,IB,43,1
1207,B,NW,43,1
1208,B,N,43,1
1209,B,B,43,5
1210,B,C,43,1
1211,B,E,43,3
1212,C,IB,43,2
1213,C,NW,43,5
1214,C,N,43,4
1215,C,B,43,1
1216,C,C,43,11
1217,C,E,43,4
1218,E,IB,43,0
1219,E,NW,43,5
1220,E,N,43,2
1221,E,B,43,3
1222,E,C,43,4
1223,E,E,43,11
1224,IB,IB,44,14
1225,IB,NW,44,5
1226,IB,N,44,1
1227,IB,B,44,2
1228,IB,C,44,7
1229,IB,E,44,2
1230,NW,IB,44,5
1231,NW,NW,44,13
1232,NW,N,44,4
1233,NW,B,44,2
1234,NW,C,44,8
1235,NW,E,44,9
1236,N,IB,44,1
1237,N,NW,44,4
1238,N,N,44,7
1239,N,B,44,2
1240,N,C,44,4
1241,N,E,44,2
1242,B,IB,44,2
1243,B,NW,44,2
1244,B,N,44,2
1245,B,B,44,8
1246,B,C,44,4
1247,B,E,44,3
1248,C,IB,44,7
1249,C,NW,44,8
1250,C,N,44,4
1251,C,B,44,4
1252,C,C,44,11
1253,C,E,44,9
1254,E,IB,44,2
1255,E,NW,44,9
1256,E,N,44,2
1257,E,B,44,3
1258,E,C,44,9
1259,E,E,44,7
1260,IB,IB,45,14
1261,IB,NW,45,5
1262,IB,N,45,1
1263,IB,B,45,2
1264,IB,C,45,8
1265,IB,E,45,7
1266,NW,IB,45,5
1267,NW,NW,45,15
1268,NW,N,45,7
1269,NW,B,45,7
1270,NW,C,45,8
1271,NW,E,45,13
1272,N,IB,45,1
1273,N,NW,45,7
1274,N,N,45,14
1275,N,B,45,9
1276,N,C,45,7
1277,N,E,45,10
1278,B,IB,45,2
1279,B,NW,45,7
