country_1,country_2,run,count
NOR,SWE,10,5
POL,AUT,10,2
POL,BEL,10,2
POL,CHE,10,2
POL,CZE,10,3
POL,DEU,10,4
POL,DNK,10,4
POL,ESP,10,2
POL,EST,10,2
POL,FIN,10,0
POL,FRA,10,1
POL,GBR,10,2
POL,HRV,10,2
POL,HUN,10,2
POL,IRL,10,1
POL,ITA,10,2
POL,LTU,10,5
POL,LVA,10,2
POL,NLD,10,3
POL,NOR,10,2
POL,POL,10,5
POL,PRT,10,2
POL,SVK,10,3
POL,SVN,10,2
POL,SWE,10,3
PRT,AUT,10,1
PRT,BEL,10,3
PRT,CHE,10,2
PRT,CZE,10,1
PRT,DEU,10,2
PRT,DNK,10,2
PRT,ESP,10,3
PRT,EST,10,0
PRT,FIN,10,0
PRT,FRA,10,2
PRT,GBR,10,1
PRT,HRV,10,1
PRT,HUN,10,1
PRT,IRL,10,1
PRT,ITA,10,1
PRT,LTU,10,2
PRT,LVA,10,1
PRT,NLD,10,2
PRT,NOR,10,0
PRT,POL,10,2
PRT,PRT,10,3
PRT,SVK,10,1
PRT,SVN,10,1
PRT,SWE,10,1
SVK,AUT,10,2
SVK,BEL,10,2
SVK,CHE,10,3
SVK,CZE,10,7
SVK,DEU,10,2
SVK,DNK,10,2
SVK,ESP,10,3
SVK,EST,10,3
SVK,FIN,10,1
SVK,FRA,10,3
SVK,GBR,10,2
SVK,HRV,10,5
SVK,HUN,10,4
SVK,IRL,10,2
SVK,ITA,10,3
SVK,LTU,10,3
SVK,LVA,10,1
SVK,NLD,10,1
SVK,NOR,10,4
SVK,POL,10,3
SVK,PRT,10,1
SVK,SVK,10,8
SVK,SVN,10,6
SVK,SWE,10,5
SVN,AUT,10,2
SVN,BEL,10,2
SVN,CHE,10,3
SVN,CZE,10,7
SVN,DEU,10,2
SVN,DNK,10,1
SVN,ESP,10,2
SVN,EST,10,2
SVN,FIN,10,1
SVN,FRA,10,2
SVN,GBR,10,1
SVN,HRV,10,6
SVN,HUN,10,5
SVN,IRL,10,3
SVN,ITA,10,3
SVN,LTU,10,2
SVN,LVA,10,0
SVN,NLD,10,2
SVN,NOR,10,4
SVN,POL,10,2
SVN,PRT,10,1
SVN,SVK,10,6
SVN,SVN,10,8
SVN,SWE,10,4
SWE,AUT,10,1
SWE,BEL,10,2
SWE,CHE,10,1
SWE,CZE,10,4
SWE,DEU,10,2
SWE,DNK,10,4
SWE,ESP,10,1
SWE,EST,10,7
SWE,FIN,10,4
SWE,FRA,10,1
SWE,GBR,10,2
SWE,HRV,10,3
SWE,HUN,10,3
SWE,IRL,10,2
SWE,ITA,10,2
SWE,LTU,10,6
SWE,LVA,10,2
SWE,NLD,10,2
SWE,NOR,10,5
SWE,POL,10,3
SWE,PRT,10,1
SWE,SVK,10,5
SWE,SVN,10,4
SWE,SWE,10,9
AUT,AUT,11,9
AUT,BEL,11,3
AUT,CHE,11,3
AUT,CZE,11,5
AUT,DEU,11,2
AUT,DNK,11,3
AUT,ESP,11,1
AUT,EST,11,2
AUT,FIN,11,1
AUT,FRA,11,3
AUT,GBR,11,2
AUT,HRV,11,2
AUT,HUN,11,5
AUT,IRL,11,0
AUT,ITA,11,3
AUT,LTU,11,2
AUT,LVA,11,2
AUT,NLD,11,3
AUT,NOR,11,1
AUT,POL,11,5
AUT,PRT,11,1
AUT,SVK,11,4
AUT,SVN,11,3
AUT,SWE,11,0
BEL,AUT,11,3
BEL,BEL,11,13
BEL,CHE,11,5
BEL,CZE,11,6
BEL,DEU,11,5
BEL,DNK,11,4
BEL,ESP,11,3
BEL,EST,11,3
BEL,FIN,11,3
BEL,FRA,11,8
BEL,GBR,11,8
BEL,HRV,11,3
BEL,HUN,11,4
BEL,IRL,11,1
BEL,ITA,11,4
BEL,LTU,11,3
BEL,LVA,11,2
BEL,NLD,11,10
BEL,NOR,11,2
BEL,POL,11,7
BEL,PRT,11,1
BEL,SVK,11,4
BEL,SVN,11,4
BEL,SWE,11,3
CHE,AUT,11,3
CHE,BEL,11,5
CHE,CHE,11,10
CHE,CZE,11,9
CHE,DEU,11,2
CHE,DNK,11,2
CHE,ESP,11,5
CHE,EST,11,5
CHE,FIN,11,4
CHE,FRA,11,11
CHE,GBR,11,4
CHE,HRV,11,4
CHE,HUN,11,8
CHE,IRL,11,1
CHE,ITA,11,4
CHE,LTU,11,6
CHE,LVA,11,4
CHE,NLD,11,4
CHE,NOR,11,5
CHE,POL,11,7
CHE,PRT,11,4
CHE,SVK,11,9
CHE,SVN,11,8
CHE,SWE,11,3
CZE,AUT,11,5
CZE,BEL,11,6
CZE,CHE,11,9
CZE,CZE,11,15
CZE,DEU,11,3
CZE,DNK,11,3
CZE,ESP,11,4
CZE,EST,11,9
CZE,FIN,11,8
CZE,FRA,11,9
CZE,GBR,11,8
CZE,HRV,11,10
CZE,HUN,11,12
CZE,IRL,11,2
CZE,ITA,11,3
CZE,LTU,11,7
CZE,LVA,11,7
CZE,NLD,11,4
CZE,NOR,11,4
CZE,POL,11,13
CZE,PRT,11,2
CZE,SVK,11,13
CZE,SVN,11,11
CZE,SWE,11,5
DEU,AUT,11,2
DEU,BEL,11,5
DEU,CHE,11,2
DEU,CZE,11,3
DEU,DEU,11,9
DEU,DNK,11,4
DEU,ESP,11,2
DEU,EST,11,0
DEU,FIN,11,0
DEU,FRA,11,3
DEU,GBR,11,3
DEU,HRV,11,1
DEU,HUN,11,2
DEU,IRL,11,0
DEU,ITA,11,0
DEU,LTU,11,1
DEU,LVA,11,0
DEU,NLD,11,6
DEU,NOR,11,0
DEU,POL,11,3
DEU,PRT,11,2
DEU,SVK,11,2
DEU,SVN,11,2
DEU,SWE,11,0
DNK,AUT,11,3
DNK,BEL,11,4
DNK,CHE,11,2
DNK,CZE,11,3
DNK,DEU,11,4
DNK,DNK,11,8
DNK,ESP,11,2
DNK,EST,11,1
DNK,FIN,11,1
DNK,FRA,11,4
DNK,GBR,11,5
DNK,HRV,11,1
DNK,HUN,11,2
DNK,IRL,11,2
DNK,ITA,11,0
DNK,LTU,11,2
DNK,LVA,11,0
DNK,NLD,11,3
DNK,NOR,11,1
DNK,POL,11,4
DNK,PRT,11,2
DNK,SVK,11,2
DNK,SVN,11,2
DNK,SWE,11,1
ESP,AUT,11,1
ESP,BEL,11,3
ESP,CHE,11,5
ESP,CZE,11,4
ESP,DEU,11,2
ESP,DNK,11,2
ESP,ESP,11,9
ESP,EST,11,4
ESP,FIN,11,4
ESP,FRA,11,6
ESP,GBR,11,3
ESP,HRV,11,5
ESP,HUN,11,5
ESP,IRL,11,2
ESP,ITA,11,1
ESP,LTU,11,3
ESP,LVA,11,2
ESP,NLD,11,2
ESP,NOR,11,1
ESP,POL,11,5
ESP,PRT,11,6
ESP,SVK,11,5
ESP,SVN,11,6
ESP,SWE,11,2
EST,AUT,11,2
EST,BEL,11,3
EST,CHE,11,5
EST,CZE,11,9
EST,DEU,11,0
EST,DNK,11,1
EST,ESP,11,4
EST,EST,11,14
EST,FIN,11,10
EST,FRA,11,7
EST,GBR,11,8
EST,HRV,11,8
EST,HUN,11,6
EST,IRL,11,3
EST,ITA,11,2
EST,LTU,11,7
EST,LVA,11,9
EST,NLD,11,0
EST,NOR,11,5
EST,POL,11,9
EST,PRT,11,2
EST,SVK,11,9
EST,SVN,11,9
EST,SWE,11,5
FIN,AUT,11,1
FIN,BEL,11,3
FIN,CHE,11,4
FIN,CZE,11,8
FIN,DEU,11,0
FIN,DNK,11,1
FIN,ESP,11,4
FIN,EST,11,10
FIN,FIN,11,12
FIN,FRA,11,6
FIN,GBR,11,5
FIN,HRV,11,8
FIN,HUN,11,7
FIN,IRL,11,2
FIN,ITA,11,2
FIN,LTU,11,6
FIN,LVA,11,5
FIN,NLD,11,0
FIN,NOR,11,6
FIN,POL,11,9
FIN,PRT,11,2
FIN,SVK,11,7
FIN,SVN,11,7
FIN,SWE,11,4
FRA,AUT,11,3
FRA,BEL,11,8
FRA,CHE,11,11
FRA,CZE,11,9
FRA,DEU,11,3
FRA,DNK,11,4
FRA,ESP,11,6
FRA,EST,11,7
FRA,FIN,11,6
FRA,FRA,11,14
FRA,GBR,11,9
FRA,HRV,11,7
FRA,HUN,11,8
FRA,IRL,11,3
FRA,ITA,11,4
FRA,LTU,11,7
FRA,LVA,11,6
FRA,NLD,11,6
FRA,NOR,11,6
FRA,POL,11,8
FRA,PRT,11,3
FRA,SVK,11,9
FRA,SVN,11,9
FRA,SWE,11,6
GBR,AUT,11,2
GBR,BEL,11,8
GBR,CHE,11,4
GBR,CZE,11,8
GBR,DEU,11,3
GBR,DNK,11,5
GBR,ESP,11,3
GBR,EST,11,8
GBR,FIN,11,5
GBR,FRA,11,9
GBR,GBR,11,16
GBR,HRV,11,6
GBR,HUN,11,6
GBR,IRL,11,4
GBR,ITA,11,2
GBR,LTU,11,6
GBR,LVA,11,4
GBR,NLD,11,7
GBR,NOR,11,3
GBR,POL,11,8
GBR,PRT,11,2
GBR,SVK,11,7
GBR,SVN,11,7
GBR,SWE,11,4
HRV,AUT,11,2
HRV,BEL,11,3
HRV,CHE,11,4
HRV,CZE,11,10
HRV,DEU,11,1
HRV,DNK,11,1
HRV,ESP,11,5
HRV,EST,11,8
HRV,FIN,11,8
HRV,FRA,11,7
HRV,GBR,11,6
HRV,HRV,11,13
HRV,HUN,11,9
HRV,IRL,11,2
HRV,ITA,11,2
HRV,LTU,11,6
HRV,LVA,11,7
HRV,NLD,11,2
HRV,NOR,11,4
HRV,POL,11,9
HRV,PRT,11,3
HRV,SVK,11,9
HRV,SVN,11,9
HRV,SWE,11,7
HUN,AUT,11,5
HUN,BEL,11,4
HUN,CHE,11,8
HUN,CZE,11,12
HUN,DEU,11,2
HUN,DNK,11,2
HUN,ESP,11,5
HUN,EST,11,6
HUN,FIN,11,7
HUN,FRA,11,8
HUN,GBR,11,6
HUN,HRV,11,9
HUN,HUN,11,15
HUN,IRL,11,2
HUN,ITA,11,2
HUN,LTU,11,7
HUN,LVA,11,7
HUN,NLD,11,3
HUN,NOR,11,5
HUN,POL,11,13
HUN,PRT,11,3
HUN,SVK,11,12
HUN,SVN,11,10
HUN,SWE,11,5
IRL,AUT,11,0
IRL,BEL,11,1
IRL,CHE,11,1
IRL,CZE,11,2
IRL,DEU,11,0
IRL,DNK,11,2
IRL,ESP,11,2
IRL,EST,11,3
IRL,FIN,11,2
IRL,FRA,11,3
IRL,GBR,11,4
IRL,HRV,11,2
IRL,HUN,11,2
IRL,IRL,11,8
IRL,ITA,11,0
IRL,LTU,11,3
IRL,LVA,11,2
IRL,NLD,11,0
IRL,NOR,11,0
IRL,POL,11,2
IRL,PRT,11,1
IRL,SVK,11,3
IRL,SVN,11,3
IRL,SWE,11,1
ITA,AUT,11,3
ITA,BEL,11,4
ITA,CHE,11,4
ITA,CZE,11,3
ITA,DEU,11,0
ITA,DNK,11,0
ITA,ESP,11,1
ITA,EST,11,2
ITA,FIN,11,2
ITA,FRA,11,4
ITA,GBR,11,2
ITA,HRV,11,2
ITA,HUN,11,2
ITA,IRL,11,0
ITA,ITA,11,8
ITA,LTU,11,1
ITA,LVA,11,2
ITA,NLD,11,3
ITA,NOR,11,2
ITA,POL,11,2
ITA,PRT,11,1
ITA,SVK,11,2
ITA,SVN,11,2
ITA,SWE,11,2
LTU,AUT,11,2
LTU,BEL,11,3
LTU,CHE,11,6
LTU,CZE,11,7
LTU,DEU,11,1
LTU,DNK,11,2
LTU,ESP,11,3
LTU,EST,11,7
LTU,FIN,11,6
LTU,FRA,11,7
LTU,GBR,11,6
LTU,HRV,11,6
LTU,HUN,11,7
LTU,IRL,11,3
LTU,ITA,11,1
LTU,LTU,11,12
LTU,LVA,11,7
LTU,NLD,11,1
LTU,NOR,11,5
LTU,POL,11,9
LTU,PRT,11,1
LTU,SVK,11,9
LTU,SVN,11,10
LTU,SWE,11,6
LVA,AUT,11,2
LVA,BEL,11,2
LVA,CHE,11,4
LVA,CZE,11,7
LVA,DEU,11,0
LVA,DNK,11,0
LVA,ESP,11,2
LVA,EST,11,9
LVA,FIN,11,5
LVA,FRA,11,6
LVA,GBR,11,4
LVA,HRV,11,7
LVA,HUN,11,7
LVA,IRL,11,2
LVA,ITA,11,2
LVA,LTU,11,7
LVA,LVA,11,14
LVA,NLD,11,0
LVA,NOR,11,5
LVA,POL,11,7
LVA,PRT,11,0
LVA,SVK,11,9
LVA,SVN,11,9
LVA,SWE,11,5
NLD,AUT,11,3
NLD,BEL,11,10
NLD,CHE,11,4
NLD,CZE,11,4
NLD,DEU,11,6
NLD,DNK,11,3
NLD,ESP,11,2
NLD,EST,11,0
NLD,FIN,11,0
NLD,FRA,11,6
NLD,GBR,11,7
NLD,HRV,11,2
NLD,HUN,11,3
NLD,IRL,11,0
NLD,ITA,11,3
NLD,LTU,11,1
NLD,LVA,11,0
NLD,NLD,11,12
NLD,NOR,11,1
NLD,POL,11,4
NLD,PRT,11,2
NLD,SVK,11,3
NLD,SVN,11,2
NLD,SWE,11,0
NOR,AUT,11,1
NOR,BEL,11,2
NOR,CHE,11,5
NOR,CZE,11,4
NOR,DEU,11,0
NOR,DNK,11,1
NOR,ESP,11,1
NOR,EST,11,5
NOR,FIN,11,6
NOR,FRA,11,6
NOR,GBR,11,3
NOR,HRV,11,4
NOR,HUN,11,5
NOR,IRL,11,0
NOR,ITA,11,2
NOR,LTU,11,5
NOR,LVA,11,5
NOR,NLD,11,1
NOR,NOR,11,10
NOR,POL,11,6
NOR,PRT,11,1
NOR,SVK,11,4
NOR,SVN,11,4
NOR,SWE,11,3
POL,AUT,11,5
POL,BEL,11,7
POL,CHE,11,7
POL,CZE,11,13
POL,DEU,11,3
POL,DNK,11,4
POL,ESP,11,5
POL,EST,11,9
POL,FIN,11,9
POL,FRA,11,8
POL,GBR,11,8
POL,HRV,11,9
POL,HUN,11,13
POL,IRL,11,2
POL,ITA,11,2
POL,LTU,11,9
POL,LVA,11,7
POL,NLD,11,4
POL,NOR,11,6
POL,POL,11,16
POL,PRT,11,3
POL,SVK,11,11
POL,SVN,11,11
POL,SWE,11,4
PRT,AUT,11,1
PRT,BEL,11,1
PRT,CHE,11,4
PRT,CZE,11,2
PRT,DEU,11,2
PRT,DNK,11,2
PRT,ESP,11,6
PRT,EST,11,2
PRT,FIN,11,2
PRT,FRA,11,3
PRT,GBR,11,2
PRT,HRV,11,3
PRT,HUN,11,3
PRT,IRL,11,1
PRT,ITA,11,1
PRT,LTU,11,1
PRT,LVA,11,0
PRT,NLD,11,2
PRT,NOR,11,1
PRT,POL,11,3
PRT,PRT,11,8
PRT,SVK,11,3
PRT,SVN,11,3
PRT,SWE,11,0
SVK,AUT,11,4
SVK,BEL,11,4
SVK,CHE,11,9
SVK,CZE,11,13
SVK,DEU,11,2
SVK,DNK,11,2
SVK,ESP,11,5
SVK,EST,11,9
SVK,FIN,11,7
SVK,FRA,11,9
SVK,GBR,11,7
SVK,HRV,11,9
SVK,HUN,11,12
SVK,IRL,11,3
SVK,ITA,11,2
SVK,LTU,11,9
SVK,LVA,11,9
SVK,NLD,11,3
SVK,NOR,11,4
SVK,POL,11,11
SVK,PRT,11,3
SVK,SVK,11,15
SVK,SVN,11,11
SVK,SWE,11,6
SVN,AUT,11,3
SVN,BEL,11,4
SVN,CHE,11,8
SVN,CZE,11,11
SVN,DEU,11,2
